IDs:;DNAJB6_meas3_240729A;02_DNAJB6_05_000_uM_compression_corrected;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
603.34;56.3433516967696;52.573;39.982
604.34;56.3452767022718;52.574;39.983
605.349;56.3395766099206;52.572;39.979
606.33;56.3363516967696;52.575;39.982
607.317;56.3382016960471;52.577;39.984
608.315;56.3404266795423;52.574;39.981
609.317;56.3404266795423;52.574;39.981
610.32;56.3332016960471;52.578;39.984
611.332;56.3235766099206;52.576;39.979
612.314;56.3194266795423;52.577;39.981
613.302;56.3200516484091;52.582;39.986
614.293;56.3132016960471;52.58;39.984
615.298;56.3184266795423;52.579;39.981
616.29;56.3199766069918;52.585;39.987
617.31;56.3113516967696;52.58;39.982
618.313;56.3101266780935;52.583;39.985
619.305;56.3002016960471;52.583;39.984
620.295;56.3092016960471;52.583;39.984
621.287;56.3132016960471;52.585;39.984
622.286;56.3022767022718;52.583;39.983
623.274;56.2985766099206;52.58;39.979
624.278;56.2894266795423;52.583;39.981
625.266;56.2962767022718;52.585;39.983
626.246;56.2912016960471;52.585;39.984
627.247;56.2885766099206;52.582;39.979
628.247;56.281501650592;52.583;39.98
629.233;56.290501650592;52.583;39.98
630.232;56.2680516484091;52.589;39.986
631.234;56.2841266780935;52.589;39.985
632.22;56.2791266780935;52.589;39.985
633.218;56.2742767022718;52.588;39.983
634.217;56.2904266795423;52.586;39.981
635.228;56.2794266795423;52.587;39.981
636.217;56.2713516967696;52.589;39.982
637.212;56.2691266780935;52.592;39.985
638.209;56.276501650592;52.587;39.98
639.205;56.2774266795423;52.59;39.981
640.195;56.2702767022718;52.592;39.983
641.22;56.267501650592;52.59;39.98
642.22;56.2742767022718;52.592;39.983
643.222;56.2653516967696;52.592;39.982
644.229;56.2661266780935;52.595;39.985
645.237;56.2684266795423;52.591;39.981
646.22;56.2484266795423;52.593;39.981
647.207;56.2543516967696;52.594;39.982
648.196;56.2410516484091;52.597;39.986
649.188;56.2564266795423;52.594;39.981
650.194;56.2432016960471;52.595;39.984
651.198;56.2482016960471;52.596;39.984
652.192;56.24365155753;52.593;39.978
653.184;56.2344266795423;52.594;39.981
654.176;56.2183516967696;52.597;39.982
655.174;56.2384266795423;52.596;39.981
656.164;56.235501650592;52.596;39.98
657.168;56.2304266795423;52.597;39.981
658.171;56.22265155753;52.595;39.978
659.173;56.2252767022718;52.599;39.983
660.176;56.225501650592;52.596;39.98
661.164;56.227501650592;52.596;39.98
662.16;56.2195766099206;52.596;39.979
663.136;56.228501650592;52.599;39.98
664.151;56.215501650592;52.598;39.98
665.148;56.2072767022718;52.602;39.983
666.136;56.2092767022718;52.601;39.983
667.126;56.2035766099206;52.599;39.979
668.131;56.2053516967696;52.602;39.982
669.146;56.1985766099206;52.6;39.979
670.167;56.201501650592;52.601;39.98
671.162;56.19565155753;52.599;39.978
672.168;56.1924266795423;52.602;39.981
673.157;56.1903516967696;52.604;39.982
674.152;56.1897264934221;52.601;39.977
675.158;56.1842767022718;52.606;39.983
676.144;56.1813516967696;52.605;39.982
677.13;56.176501650592;52.604;39.98
678.127;56.1765766099206;52.604;39.979
