IDs:;240715_05_240712D;05_DNAJB6_01_480_uM;
Concentration [uM]:;1.48;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
817.664;56.915;51.805;38.945
818.656;56.926;51.807;38.946
819.655;56.911;51.807;38.946
820.674;56.918;51.81;38.948
821.664;56.913;51.809;38.946
822.653;56.91;51.811;38.948
823.635;56.906;51.811;38.948
824.611;56.912;51.812;38.946
825.6;56.904;51.812;38.948
826.605;56.911;51.813;38.948
827.613;56.907;51.814;38.949
828.595;56.923;51.816;38.951
829.595;56.932;51.809;38.943
830.601;56.921;51.825;38.956
831.617;56.905;51.813;38.947
832.617;56.896;51.814;38.947
833.634;56.899;51.813;38.946
834.641;56.892;51.812;38.944
835.631;56.885;51.816;38.948
836.624;56.881;51.819;38.95
837.624;56.873;51.818;38.948
838.633;56.887;51.816;38.947
839.636;56.879;51.817;38.947
840.637;56.876;51.818;38.947
841.645;56.884;51.818;38.947
842.632;56.873;51.819;38.948
